file_name,top_left_lat,top_left_lon,top_right_lat,top_right_lon,bottom_left_lat,bottom_left_lon,bottom_right_lat,bottom_right_lon
45HongKong_1.png,22.65,113.82,22.65,114.26,22.24,113.82,22.24,114.26
45SanJose_1.png,37.57,-122.29,37.57,-121.78,37.16,-122.29,37.16,-121.78
45LosAngeles_1.png,34.19,-118.53,34.19,-118.04,33.78,-118.53,33.78,-118.04
45WyomingRural_1.png,42.15,-106.24,42.15,-104.15,41.06,-106.24,41.06,-104.15
